kingdom,phylum,class,order,family,genus,species,scientificName,decimalLatitude,decimalLongitude,eventDate,month,year
Animalia,Chordata,Aves,Passeriformes,Cisticolidae,Cisticola,Cisticola juncidis,"Cisticola juncidis (Rafinesque, 1810)",36.748253,2.96897,2025-09-16,September,2025
Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Sympetrum,Sympetrum fonscolombii,"Sympetrum fonscolombii (Selys, 1840)",36.747915,2.97226,2025-09-24,September,2025
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Thapsia,Thapsia villosa,Thapsia villosa L.,35.131862,1.085313,2025-05-07,May,2025
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Galerida,Galerida cristata,"Galerida cristata (Linnaeus, 1758)",31.95561,-1.920016,2025-02-18,February,2025
Animalia,Mollusca,Gastropoda,Stylommatophora,Ferussaciidae,Ferussacia,Ferussacia folliculum,"Ferussacia folliculum (Schröter, 1784)",36.487489,4.737064,2025-10-11,October,2025
Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,Himantopus himantopus,"Himantopus himantopus (Linnaeus, 1758)",35.305812,-0.093992,2025-07-25,July,2025
Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Lysimachia,Lysimachia monelli,Lysimachia monelli (L.) U.Manns & Anderb.,36.469109,4.191558,2025-07-17,July,2025
Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,Lanius senator,"Lanius senator Linnaeus, 1758",35.859,0.783656,2025-03-21,March,2025
Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Aiolopus,Aiolopus puissanti,"Aiolopus puissanti Defaut, 2005",36.747656,2.969837,2025-07-24,July,2025
Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,Columba palumbus,"Columba palumbus Linnaeus, 1758",36.324994,4.928728,2025-04-10,April,2025
Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus capensis,"Lepus capensis Linnaeus, 1758",35.305812,-0.093992,2025-05-31,May,2025
Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Delichon,Delichon urbicum,"Delichon urbicum (Linnaeus, 1758)",36.747558,2.967109,2025-08-27,August,2025
Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Trichoplusia,Trichoplusia ni,Trichoplusia ni (Hübner),36.067318,4.752988,2025-06-19,June,2025
